epoch,loss
1,1.6394893726589825e+24
2,6.483839451809044e+23
3,3.0239229983787635e+23
4,1.557669503189127e+23
5,8.54385930002478e+22
6,4.882204624910191e+22
7,2.8668148982156597e+22
8,1.7141759834322805e+22
9,1.03745261816016e+22
10,6.328739985393695e+21
11,3.880275083048823e+21
12,2.386285901420805e+21
13,1.4697458375850803e+21
14,9.056987657702506e+20
15,5.5789942415717984e+20
16,3.432914132659068e+20
17,2.1087792758083443e+20
18,1.292393094272646e+20
19,7.897134283899488e+19
20,4.807911395069338e+19
